taxon,A,S
Acraea,0,1
Actinote,0,0
Adelpha,0,0
Aemona,0,0
Aeria,1,0
Aeropetes,0,0
Agatasa,0,0
Aglais,0,0
Agraulis,0,0
Agrias,0,0
Algia,0,0
Algiachroa,NA,NA
Altiapa,0,0
Altinote,0,0
Amathusia,0,0
Amathuxidia,NA,NA
Amauris,1,0
Amnosia,0,0
Amphidecta,0,0
Anaea,0,0
Anaeomorpha,NA,NA
Anartia,0,0
Anetia,0,0
Antanartia,0,0
Anthanassa,0,0
Antillea,0,0
Antirrhea,0,0
Apatura,0,0
Apaturopsis,0,0
Apexacuta,NA,NA
Aphantopus,0,0
Araschnia,0,0
Archaeoprepona,0,0
Archeuptychia,NA,NA
Archimestra,0,0
Arethusana,0,0
Argynnina,0,0
Argynnis,0,0
Argyronympha,NA,NA
Argyrophenga,0,0
Argyrophorus,0,0
Ariadne,0,0
Asterocampa,0,0
Aterica,0,0
Athesis,0,1
Athyma,0,0
Athyrtis,NA,NA
Atlantea,0,0
Auca,0,0
Baeotus,NA,NA
Bassarona,NA,NA
Batesia,0,0
Bebearia,1,0
Bematistes,0,0
Berberia,0,0
Bia,0,0
Biblis,0,0
Bicyclus,0,0
Boloria,0,0
Brassolis,0,0
Brenthis,0,0
Brevioleria,0,1
Brintesia,0,0
Byblia,0,0
Caerois,0,0
Caeruleuptychia,0,0
Caligo,0,0
Calinaga,0,0
Calisto,0,0
Callicore,0,0
Callithomia,0,1
Cassionympha,0,0
Castilia,0,0
Catacroptera,1,0
Catoblepia,0,0
Catonephele,0,0
Catuna,0,0
Cepheuptychia,NA,NA
Ceratinia,0,1
Cercyonis,0,0
Cethosia,1,0
Charaxes,0,0
Chazara,0,0
Chersonesia,0,0
Chillanella,0,0
Chitoria,0,0
Chloreuptychia,0,0
Chlosyne,0,0
Chonala,NA,NA
Cirrochroa,0,0
Cissia,0,0
Cithaerias,0,0
Coenonympha,0,0
Coenophlebia,NA,NA
Colobura,0,0
Consul,0,0
Corades,0,0
Cosmosatyrus,0,0
Crenidomimas,0,0
Cupha,0,0
Cyllogenes,NA,NA
Cyllopsis,0,0
Cymothoe,0,0
Cyrestis,0,0
Daedalma,0,0
Dagon,NA,NA
Danaus,1,0
Dasyophthalma,0,0
Diaethria,0,0
Dichorragia,0,0
Dione,0,0
Dira,0,0
Dircenna,0,1
Discophora,0,0
Dodonidia,0,0
Doleschallia,0,0
Dophla,0,0
Doxocopa,0,0
Dryadula,0,0
Dryas,0,0
Dynamine,0,0
Dynastor,0,0
Ectima,0,0
Elina,0,0
