Reference_ID	DOI	Citation
12	10.1111/j.1095-8312.1988.tb00446.x	Ackery PR (1988) Hostplants and classification: a review of nymphalid butterflies. Biological Journal of the Linnean Society 33: 95–203.
16	\N	Ackery PR, Vane-Wright RI. (1984) Milkweed butterflies. British Museum (Natural History), London.
17	\N	Ackery, P.R., Smith, C.R., Vane-Wright, R.I. (Eds.) (1995) Carcasson's African butterflies. CSIRO, Canberra. 803 pp.
55	10.1590/S1984-46702010000500005	Barbosa, E. P., Kaminski, L. a., & Freitas, A. V. L. (2010). Immature stages of the butterfly Diaethria clymena janeira (Lepidoptera: Nymphalidae: Biblidinae). Zoologia, 27(5), 696-702. doi:10.1590/S1984-46702010000500005
37	\N	Barron 2003, Biological control 27, 329-335
64	\N	Beccaloni, G.W., Viloria, A.L., Hall, S.K., Robinson, G.S. (2008). Catalogue of the hostplants of the Neotropical butterflies. The Natural History Museum, London
10	\N	Bergman K-O (2000) Oviposition, host plant choice and survival of a grass feeding butterfly, the Woodland Brown (Lopinga achine) (Nymphalidae: Satyrinae). Journal of Research on the Lepidoptera 35: 9–21.
21	\N	Braby 2000, Butterflies of Austrailia
15	\N	Brower LP, Ivie MA, Fink LS, Watts JR, and Moranz RA. (1992) Life history of Anetia briarea and its bearing on the evolutionary relationships of the Danainae. Tropical Lepidoptera 3: 64–73.
41	\N	Constantino LM (1993) Notes on Haetera from Colombia, with description of the immature stages of Haetera piera (Lepidoptera: Nymphalidae: Satyrinae). Tropical Lepidoptera 4: 13–15.
34	\N	Corbet and Pendlebury 1992, The Butterflies of the Malay Peninsula
57	\N	Dan Jazen database. Area de Conservación Guanacaste (ACG), northwestern Costa Rica: http://janzen.sas.upenn.edu/caterpillars/database.lasso
24	\N	DeVries 1987, Butterflies of Costa Rica
44	\N	DeVries PJ (1986) Hostplant records and natural history notes on Costa Rican butterflies (Papilionidae, Pieridae & Nymphalidae). The Journal of Research on the Lepidoptera 24: 290–333
31	\N	Fernandez, D. 2004. New range extensions, larval hostplant records and natural history observations of Cuban butterflies. Journal of the Lepidopterists' Society, 58(1): 48-50.
6	\N	Freitas AVL, Murray DL, Brown Jr. KS (2002) Immatures, natural history and the systematic position of Bia actorion (Nymphalidae). Journal of the Lepidopterists’ Society 56: 117–122.
40	\N	Freitas AVL, Peña C (2006) Description of Genus Guaianaza for “Euptychia” pronophila (Lepidoptera: Nymphalidae: Satyrinae) with a description of the immature stages. Zootaxa 1163: 49–59
