"index" "tip" "sample size (N)" "r (mean)" "r (sd)" "epsilon (mean)" "epsilon (sd)" "lnlik (mean)" "lnlik (sd)"
1 "n" 1000 0.0805894039898448 0.00630957720473334 0.264917770226355 0.125501530588271 -1277.40601835625 198.638926814378
5 "n" 1 0.0830253294136947 NA 1.56533666136641e-07 NA -82.5575284420049 NA
15 "n" 972 0.173836644977011 0.0149164726505106 0.193538716728501 0.186331728581887 -146.113538129987 5.13824020096369
19 "n" 28 0.172502119503575 0.0164525313963133 0.295736835747313 0.169957870379146 -122.885315751174 3.29320588298968
22 "n" 9 0.0183682183187282 0.0214188125261685 0.991270689514544 0.011157349372455 -17.3328459142147 0.385173965976216
23 "n" 89 1.77618738226043e-06 9.70475438646422e-06 0.999999325923123 3.85616602632964e-06 -10.2706598503637 0.116802085598758
49 "n" 982 0.0535381473675574 0.0114827273426264 0.933364982034964 0.0266352757965625 -47.1376712237895 0.695286428776629
52 "n" 5 0.00642446134269531 0.00549278511442908 0.994518149913378 0.00476950847046346 -17.6866261974319 0.115888473617175
53 "n" 5 4.23676836320463e-07 5.97670134993179e-07 0.999999847556148 2.13325344654565e-07 -10.4144384533998 0.0615501678748449
54 "n" 1 1.99404982539296e-07 NA 0.999999929631409 NA -12.3177298288161 NA
56 "n" 2 0.102103631425909 0.00857150019176993 0.0190300176404596 0.0269108987500181 -539.872852557174 36.3350494436076
57 "n" 928 0.0543672912270457 0.00497234810791311 0.922527200513382 0.059151065804832 -369.896570656029 70.7593536997365
60 "n" 18 0.104242316632285 0.00516745214717817 0.0019098681095274 0.00806022986396408 -40.9405288939934 0.52360563663777
61 "n" 13 0.0472971981878041 0.00236526852586584 1.06774136363081e-07 9.85132323216818e-08 -12.1897656131179 0.15223519726944
63 "y" 109 0.456809093923735 0.0655453349342761 0.601143038166763 0.0284031514075583 -5.84811411060473 4.81158341908373e-07
67 "n" 190 0.0384855649733065 0.0124363885691346 0.987940314553029 0.00940129517864323 -32.3981264007559 0.276217445039366
69 "n" 5 9.24106111841742e-07 7.84711260217993e-07 0.999999869618516 9.05009774751683e-08 -14.0069978767425 0.15798497370769
70 "n" 71 0.0532454740450952 0.00526265034963757 0.819261828262265 0.0979358838053176 -102.50536060489 8.47738846504806
82 "n" 97 0.184373231840847 0.0356455511866884 0.341943831285079 0.331954699280969 -23.549184597114 0.428584205842087
85 "n" 1 0.0404780251530254 NA 0.969363215146718 NA -209.567923117456 NA
86 "n" 148 0.0547508717184199 0.00803395883282116 0.955326616416181 0.0160283898809826 -194.568745852664 8.83804350038629
88 "n" 2 0.0671592487244312 0.000143446570972629 0.926015005268562 0.000185236312726701 -176.202552229167 0.492335492763221
97 "n" 10 0.119153343090059 0.018195698639177 0.930882785998911 0.019810831326837 -49.7920989071831 0.707455208790504
98 "n" 316 0.0038765254875915 0.00871968850211678 0.999475728652147 0.00127996992443981 -15.5347840485404 0.0864727574833301
110 "n" 4 0.0913602695989765 0.00181481290164982 4.65609317672926e-07 5.60232074732629e-07 -525.853645393265 13.7551820659825
128 "n" 1 1.22973958151362e-05 NA 0.999985240078225 NA -19.5240628366536 NA
129 "n" 1 0.197709489193039 NA 0.553299695603528 NA -12.9392265947037 NA
139 "n" 119 0.145197865207966 0.0193219349479934 0.222214241414151 0.279003911566892 -36.63023948059 0.875977160508249
139 "y" 18 0.196672485237165 0.018649313125516 0.549211545225181 0.0179347208361582 -4.92195708466552 9.00678967338907e-08
143 "n" 2 0.242558517919661 0.0052251085662674 2.57123672883526e-06 3.8668836454574e-07 -10.4848074053239 0.0829953309548686
149 "n" 34 0.153060297867896 0.00899781586192193 0.0453074249461307 0.0989256401318164 -110.210611374324 1.45961454920697
155 "n" 681 0.232433929639309 0.0210166496430802 0.018045766703764 0.0724411843269724 -41.1929873918133 0.662221689117204
156 "n" 281 0.25562525229906 0.0223139776555344 0.00816201518713473 0.0416154617130203 -35.2225426201766 0.643651294649558
164 "n" 85 0.159428566956197 0.00833455781974363 9.0128801050241e-07 8.90903343058711e-07 -23.436111088552 0.271331529494117
180 "n" 24 0.11596597321288 0.0110544310383584 0.430914579944813 0.154900052474502 -106.565663513675 1.38199690070108
195 "n" 817 0.220171570272758 0.024873666457791 0.0502217680791374 0.163842388488815 -11.2627454671769 0.214084267456955
206 "n" 393 0.0237751336644694 0.00137952877148825 3.53422595914863e-07 5.51561140415848e-07 -17.5700176431741 0.159343662203602
214 "y" 8 0.171552025829442 0.0106049943018286 0.547629934374709 0.01666257364486 -5.13515591073168 2.14059567575994e-08
219 "n" 148 0.183613826744093 0.0122404406968976 0.00365764886574442 0.0270158564906527 -21.3271489184385 0.386562350795927
224 "y" 996 0.250336301489092 0.0444441577761574 0.559398026866682 0.0280871607091016 -6.26009524716256 5.54476191172823e-07
229 "n" 1 0.0809657311049704 NA 0.239374732169219 NA -438.437856852845 NA
230 "n" 249 0.124318188640667 0.0105894517292832 0.0507362220466504 0.142848307906912 -584.917349585716 63.9984239067311
231 "y" 387 0.194992950586703 0.0289668014518024 0.551686848269488 0.0185885541451839 -4.79546820331997 1.01460018298663e-07
232 "n" 219 0.0698910398405192 0.00635510465470727 0.000788118041003823 0.00679818485460014 -128.726501287049 8.99632758706947
238 "n" 13 0.0750241787425999 0.00291322417178074 4.05984752047182e-07 5.31920696075617e-07 -78.8221700893938 0.603824630494049
243 "n" 1 0.0718082691371278 NA 2.51245586979831e-07 NA -47.4488239449601 NA
252 "n" 1 0.0593896264264196 NA 2.81444766688851e-07 NA -19.6672568596746 NA
255 "n" 6 0.140151783009904 0.00774398144140558 0.0783605026417235 0.151462193456373 -98.268818050112 1.22715536715735
256 "n" 613 0.126546362132292 0.0213873457400722 0.599426793294401 0.268545901872883 -67.6498717034848 1.20924024964879
257 "n" 242 0.120499814023635 0.0262985624204537 0.786113965901125 0.167326667418949 -30.3504978318888 0.41671454431309
258 "y" 119 0.165044838863404 0.0163570264923353 0.543406136405871 0.0187146573471138 -5.83230325944151 5.08968303104404e-07
268 "n" 85 0.11679891961093 0.00691226703521882 1.92305868826946e-06 1.01554935975356e-05 -463.390861212864 18.1328788746172
