"i","lambda0","lambda1","mu0","mu1","q01","q10","p"
1,0.106760786640369,0.143453040740271,0.0101382345756003,0.00339709078560458,0.000221090453074594,0.00743839792996675,-1604.44346531363
2,0.112762008173313,0.173281362863394,0.00736536783453769,0.0351624675493983,0.000476962333722807,0.00552055155012657,-1605.13459018771
3,0.108083271755887,0.171067224714751,0.00715653144168935,0.0338550394582016,0.00029490771352698,0.01071415956291,-1604.80180874012
4,0.106927336082547,0.164267840567484,0.00888258169228933,0.0267308111585213,0.00035405946224565,0.012890988744084,-1605.96214879748
5,0.111162039867706,0.160623043167376,0.00869846132939367,0.0185333452970248,0.00036719911580938,0.00204256370789005,-1604.64624783523
6,0.111450374257341,0.161752653769758,0.00521422638541739,0.0258906816347215,0.000279449265695938,0.0074068146316168,-1604.48679225487
7,0.104210584667472,0.184479119953694,0.00317313893462249,0.0426954653097647,0.000282601991466176,0.0112436286513879,-1604.96264341548
8,0.107605594597117,0.179030205459481,0.00300336854992273,0.0465623136326182,0.000361771358548694,0.00252052240091739,-1604.75486295448
9,0.104263653348016,0.189007347644558,0.00230687817835299,0.0521157381912168,0.000450375051838591,0.00280195307428201,-1604.85412216569
10,0.101138092242876,0.189501822719899,0.00116859352308013,0.0252106650685809,0.00040925382469879,0.0134638960943351,-1605.96722193508
11,0.0985989604271271,0.160306036206292,0.000208330369298965,0.0119730402403952,0.000303915146532837,0.00555468802451097,-1603.53021763785
12,0.10923599797777,0.148245768956651,0.0111404126614414,0.00655683932493199,0.000197178515649858,0.00498353429232876,-1603.89648274688
13,0.114324328684552,0.145484601639292,0.012627887108503,0.0114861344630291,0.000392415737318253,0.00577860028945697,-1604.23850606545
14,0.1125419505505,0.148844806577132,0.0143644010965057,0.0147896828751422,0.000193273753883461,0.00336125760376003,-1605.26118738218
15,0.110305368692514,0.174671410606749,0.0165192107671898,0.00770017607035568,0.000212980659960111,0.0156283624938604,-1608.76404325856
16,0.11411177582525,0.150948996267985,0.010524014340546,0.00281149267235975,0.000117964754104751,0.00973511445188155,-1604.81694390655
17,0.108850676154636,0.13631737067748,0.0121616068790812,0.00273841095033501,0.00059769896784321,0.00996916286286535,-1606.5373598958
18,0.102816228058976,0.163826052030162,0.0063892184621796,0.00921235659512205,0.000172220003719013,0.0100367876365513,-1605.48160679589
19,0.110869878784705,0.166939646248579,0.00795248108804646,0.0265536209836169,0.000181981277167368,0.00542490340201377,-1604.18431638804
20,0.109008018671005,0.186905735622074,0.00802299125754505,0.0307389588012231,0.000460868355371944,0.0126932309994002,-1605.99523168538
21,0.111366656947647,0.178964457777872,0.0108207878166675,0.0501672021595932,0.000302631953596983,0.00214481199484953,-1606.37877173205
22,0.113572565865979,0.194225291749568,0.0146555878071381,0.0508950805070505,0.000548789969020214,0.00243469361966972,-1607.94863496302
23,0.116772985649807,0.177832428824821,0.0138882782987072,0.019035430796939,0.000352866979294599,0.00796128658352226,-1605.65807648025
24,0.112459330809375,0.169419685759604,0.00479791703941188,0.0290446412908089,0.000336569972496812,0.00364136069586299,-1605.25596218085
25,0.102956464946237,0.173871178289622,0.00448847802356411,0.0282200284330442,0.000282220345173305,0.00225251413163841,-1605.33720037519
26,0.10937471495949,0.149897162474589,0.00469313867629641,0.00676727653937856,0.000295835338246989,0.00694973727266486,-1602.50194177789
27,0.105805417325871,0.147087509558398,5.17327412287203e-05,0.00861971107030238,0.000337230425659667,0.00692610732446038,-1602.06360963186
28,0.100533764318816,0.167161002129791,0.000443513359093822,0.019853294278984,0.000304045897778283,0.00325451012292416,-1603.40487491764
29,0.100001758687136,0.157356304952476,0.000130396064864447,0.014584117319174,0.00026404667657101,0.00514584419634203,-1602.76580991124
30,0.102203824687392,0.155760352996887,0.00414817263177807,0.0155978462720303,0.000312399722015756,0.004523139730046,-1603.93318701113
31,0.111824912014734,0.157115037955579,0.00980840049593715,0.00926548146088554,0.000290921785789036,0.00447844154287895,-1603.19764241767
32,0.10973921525304,0.147536810504807,0.00341909499631032,0.00795197632981983,0.000476164716008401,0.00426857181496767,-1603.46711625791
33,0.096267137030688,0.151513054932453,0.00317330638069431,0.00582699758132322,0.000113197132803645,0.00906635420243845,-1609.79770833622
