index,tip,taxa
1,n,Libytheana Libythea Olyras Paititia Melinaea Athyrtis Athesis Patricia Hyposcada Oleria Ollantaya Megoleria Epityches Napeogenes Hypothyris Hyalyris Placidina Pagyris Ithomia Hypoleria Mcclungia Brevioleria Heterosais Pseudoscada Greta Godyris Veladyris Velamysta Callithomia Dircenna Hyalenna Pteronymia Ceratinia Episcada Methona Tithorea Elzunia Aeria Mechanitis Forbestra Scada Sais Thyridia Tellervo Anetia Lycorea Ituna Tirumala Danaus Amauris Parantica Ideopsis Euploea Idea Dryadula Dryas Philaethria Dione Agraulis Heliconius Eueides Altinote Actinote Bematistes Acraea Cethosia Vindula Algia Algiachroa Cirrochroa Lachnoptera Vagrans Phalanta Cupha Euptoieta Terinos Yramea Boloria Brenthis Argynnis Issoria Pardopsis Harma Cymothoe Limenitis Adelpha Moduza Athyma Pseudoneptis Pseudacraea Euphaedra Bebearia Hamanumida Euryphura Crenidomimas Euriphene Aterica Catuna Euptera Bassarona Tanaecia Lexias Dophla Lebadea Neptis Pantoporia Lasippa Parthenos Chersonesia Cyrestis Marpesia Pycina Historis Baeotus Tigridia Colobura Smyrna Araschnia Mynes Symbrenthia Vanessa Antanartia Nymphalis Kaniska Polygonia Aglais Hypanartia Rhinopalpa Anartia Metamorpha Napeocles Siproeta Vanessula Precis Hypolimnas Yoma Protogoniomorpha Salamis Junonia Kallimoides Kallima Mallika Catacroptera Doleschallia Euphydryas Atlantea Phystis Tegosa Dagon Janatella Eresia Telenassa Castilia Anthanassa Phyciodes Mazia Ortilia Antillea Higginsius Gnathotriche Melitaea Chlosyne Microtia Poladryas Mimathyma Hestinalis Sephisa Apatura Hestina Euripus Doxocopa Eulaceura Apaturopsis Chitoria Asterocampa Timelaea Sevenia Eunica Batesia Panacea Ectima Hamadryas Myscelia Nessaea Catonephele Pyrrhogyra Temenis Nica Epiphile Diaethria Callicore Haematera Lucinia Dynamine Neptidopsis Mesoxantha Byblia Eurytela Mestra Archimestra Laringa Ariadne Vila Biblis Amnosia Dichorragia Stibochiona Pseudergolis Calinaga Prepona Agrias Archaeoprepona Coenophlebia Memphis Anaea Polygrapha Fountainea Consul Zaretis Siderone Hypna Anaeomorpha Polyura Charaxes Euxanthe Palla Prothoe Agatasa Lyela Triphysa Coenonympha Oressinoma Lamprolenis Altiapa Hypocysta Harsiesis Platypthima Nesoxenica Tisiphone Geitoneura Argynnina Oreixenica Heteronympha Erebiola Argyrophenga Percnodaimon Dodonidia Argyronympha Zipaetis Orsotriaena Erites Ragadia Henotesia Bicyclus Hallelesis Mycalesis Neope Lethe Satyrodes Enodia Rhaphicera Lasiommata Pararge Chonala Lopinga Kirinia Steroma Moneuptychia Yphthimoides Euptychoides Cissia Megisto Palaeonympha Taydebis Pareuptychia Erichthodes Neonympha Archeuptychia Paryphthimoides Magneuptychia Caeruleuptychia Cepheuptychia Parataygetis Harjesia Forsterinaria Guaianaza Taygetis Rareuptychia Amphidecta Zischkaia Pharneuptychia Chloreuptychia Pindis Godartiana Hermeuptychia Cyllopsis Euptychia Ypthimomorpha Ypthima Neocoenyra Pseudonympha Cassionympha Stygionympha Paralasa Calisto Melanargia Aphantopus Pyronia Maniola Hyponephele Cercyonis Erebia Hipparchia Berberia Karanasa Oeneis Neominois Arethusana Brintesia Satyrus Pseudochazara Chazara Proterebia Eretris Quilaphoetosus Elina Cosmosatyrus Chillanella Auca Pampasatyrus Etcheverrius Argyrophorus Faunula Nelia Steremnia Lymanopoda Ianussiusa Idioneurula Manerebia Oxeoschistus Mygona Proboscis Lasiophila Pseudomaniola Apexacuta Daedalma Foetterleia Eteona Pronophila Corades Praepedaliodes Punapedaliodes Parapedaliodes Panyapedaliodes Pedaliodes Narope Opoptera Caligo Brassolis Catoblepia Opsiphanes Dasyophthalma Dynastor Bia Caerois Morpho Antirrhea Discophora Zeuxidia Amathuxidia Amathusia Thaumantis Thauria Stichophthalma Aemona Morphotenaris Taenaris Faunis Ethope Zethera Penthema Neorina Xanthotaenia Hyantis Elymnias Paralethe Dira Torynesis Tarsocera Aeropetes Manataria Cyllogenes Melanitis Gnophodes Pseudohaetera Haetera Cithaerias Pierella
15,n,Hyposcada Oleria Ollantaya Megoleria Epityches Napeogenes Hypothyris Hyalyris Placidina Pagyris Ithomia Hypoleria Mcclungia Brevioleria Heterosais Pseudoscada Greta Godyris Veladyris Velamysta Callithomia Dircenna Hyalenna Pteronymia Ceratinia Episcada
49,n,Tirumala Danaus Amauris Parantica Ideopsis Euploea Idea
57,n,Dryadula Dryas Philaethria Dione Agraulis Heliconius Eueides Altinote Actinote Bematistes Acraea Cethosia Vindula Algia Algiachroa Cirrochroa Lachnoptera Vagrans Phalanta Cupha Euptoieta Terinos Yramea Boloria Brenthis Argynnis Issoria Pardopsis Harma Cymothoe Limenitis Adelpha Moduza Athyma Pseudoneptis Pseudacraea Euphaedra Bebearia Hamanumida Euryphura Crenidomimas Euriphene Aterica Catuna Euptera Bassarona Tanaecia Lexias Dophla Lebadea Neptis Pantoporia Lasippa Parthenos
155,n,Tegosa Dagon Janatella Eresia Telenassa Castilia Anthanassa Phyciodes
195,n,Diaethria Callicore
256,n,Henotesia Bicyclus Hallelesis Mycalesis Neope Lethe Satyrodes Enodia Rhaphicera
269,n,Moneuptychia Yphthimoides Euptychoides Cissia Megisto Palaeonympha Taydebis Pareuptychia Erichthodes Neonympha Archeuptychia Paryphthimoides Magneuptychia Caeruleuptychia Cepheuptychia Parataygetis Harjesia Forsterinaria Guaianaza Taygetis Rareuptychia Amphidecta Zischkaia Pharneuptychia Chloreuptychia Pindis Godartiana Hermeuptychia Cyllopsis Euptychia Ypthimomorpha Ypthima Neocoenyra Pseudonympha Cassionympha Stygionympha Paralasa Calisto Melanargia Aphantopus Pyronia Maniola Hyponephele Cercyonis Erebia Hipparchia Berberia Karanasa Oeneis Neominois Arethusana Brintesia Satyrus Pseudochazara Chazara Proterebia Eretris Quilaphoetosus Elina Cosmosatyrus Chillanella Auca Pampasatyrus Etcheverrius Argyrophorus Faunula Nelia Steremnia Lymanopoda Ianussiusa Idioneurula Manerebia Oxeoschistus Mygona Proboscis Lasiophila Pseudomaniola Apexacuta Daedalma Foetterleia Eteona Pronophila Corades Praepedaliodes Punapedaliodes Parapedaliodes Panyapedaliodes Pedaliodes
288,n,Magneuptychia Caeruleuptychia
318,n,Karanasa Oeneis Neominois Arethusana Brintesia Satyrus Pseudochazara Chazara
