"i","lambda0","lambda1","mu0","mu1","q01","q10","p"
1,0.106329184395296,0.173321080350596,0.00156694163647549,0.0308701905654049,0.000351950434589692,0.00710165243767855,-1602.14765375227
2,0.102504946497641,0.182303624648851,0.000618775939162611,0.0381631657330649,0.000666995001544365,0.00416868942119236,-1603.59627338799
3,0.105932850995914,0.178692431599486,0.00670125998653447,0.028197125729651,0.000626651265254419,0.0182017330723855,-1607.52442847099
4,0.112463913031698,0.162914014844916,0.0125642590665958,0.00516251540732212,0.00023904200011025,0.0139358705703456,-1604.07200470963
5,0.117937231089137,0.166180694539061,0.01464027012718,0.0043403700001099,0.000414150979082344,0.0111554589193011,-1604.23188935528
6,0.119135164195024,0.170307655600978,0.0171704083267276,0.0107712714651955,0.000355984747006322,0.00366434004034368,-1604.09122485065
7,0.11765273321945,0.177344471927147,0.0138385288123349,0.0281033758171032,0.000335958211448427,0.00501841687372468,-1604.08622250254
8,0.116592667428368,0.197920867029807,0.0156957053978917,0.0510058494608341,0.000581143100204797,0.00449633885893429,-1605.8411663424
9,0.118765033158853,0.18562511072353,0.0154052610684648,0.0515913028955663,0.00043934481023216,0.00516848997189651,-1605.72787897506
10,0.116555496129582,0.21297110412021,0.0140128399209174,0.0510974151841512,0.000443562225831118,0.00705862304543612,-1606.2766270268
11,0.120816719589473,0.193433857830133,0.018271715146135,0.0422621189187578,0.000445666397480533,0.00635168174937065,-1605.81111996323
12,0.118228969025796,0.190419782299098,0.0111917898391128,0.0303169554436689,0.000454960063913825,0.00864268113508345,-1606.27538514193
13,0.10669051203797,0.177239907427858,0.00205398434464573,0.0290257278668316,0.000229721932309609,0.00590022046846823,-1602.11613372691
14,0.107779413815037,0.190748384694318,0.00613306822678288,0.0246088486948082,0.000428866665510927,0.0028013673993517,-1604.28969302298
15,0.107330918776703,0.161437700704903,0.00583667121234133,0.0253006180829323,0.000425862782674544,0.0090813598150279,-1603.57397287489
16,0.109712447479439,0.166632988073275,0.00593571953356711,0.00895182618163831,6.97598591298951e-05,0.0107729585869652,-1605.06661331114
17,0.105845312228296,0.166718669514296,0.00515261907081734,0.00930976627812569,0.000223125210948724,0.00810338583154992,-1602.07914108001
18,0.108275652211915,0.17749986540323,0.00343272778838191,0.0291181867967958,0.000783695451792562,0.012966139775043,-1605.53983600681
19,0.105828311454375,0.17047182242002,0.000884031228172288,0.0244648846234139,0.000350348192979022,0.01187110136437,-1602.93661701604
20,0.103787000110188,0.182033203457641,0.000992334616305038,0.0225266054881864,0.000714105668667115,0.00963602192517115,-1604.03905922365
