"Butterfly_Genus"	"Butterfly_Species"	"Plant_Order"	"Plant_Family"	"Plant_Genus"	"Plant_Species"	"Reference"	"Notes"
"Brassolis"	"astyra"	"Poales"	"Poaceae"	"Saccharum"	"\N"	12	"\N"
"Brassolis"	"astyra"	"Zingiberales"	"Musaceae"	"Musa"	"\N"	12	"\N"
"Brassolis"	"sophorae"	"Poales"	"Poaceae"	"Saccharum"	"\N"	12	"\N"
"Brassolis"	"sophorae"	"Zingiberales"	"Musaceae"	"Musa"	"\N"	12	"\N"
"Dynastor"	"darius"	"Poales"	"Bromeliaceae"	"Aechmea"	"\N"	12	"\N"
"Dynastor"	"macrosiris"	"Poales"	"Bromeliaceae"	"Aechmea"	"\N"	12	"\N"
"Dynastor"	"napoleon"	"Poales"	"Bromeliaceae"	"Aechmea"	"\N"	12	"\N"
"Dynastor"	"darius"	"Poales"	"Bromeliaceae"	"Ananas"	"\N"	12	"\N"
"Dynastor"	"darius"	"Poales"	"Bromeliaceae"	"Billbergia"	"\N"	12	"\N"
"Dynastor"	"darius"	"Poales"	"Bromeliaceae"	"Bromelia"	"\N"	12	"\N"
"Dynastor"	"darius"	"Poales"	"Bromeliaceae"	"Tillandsia"	"\N"	12	"\N"
"Dynastor"	"darius"	"Zingiberales"	"Musaceae"	"Musa"	"\N"	12	"\N"
"Opoptera"	"aorsa"	"Poales"	"Poaceae"	"Bambusa"	"\N"	12	"\N"
"Opoptera"	"staudingeri"	"Poales"	"Poaceae"	"Chusquea"	"\N"	12	"\N"
"Opoptera"	"syme"	"Poales"	"Poaceae"	"Guadua"	"\N"	12	"\N"
"Opsiphanes"	"batea"	"Poales"	"Poaceae"	"Panicum"	"\N"	12	"\N"
"Opsiphanes"	"cassiae"	"Zingiberales"	"Musaceae"	"Musa"	"\N"	12	"\N"
"Opsiphanes"	"cassiae"	"Zingiberales"	"Heliconiaceae"	"Heliconia"	"\N"	12	"\N"
"Opsiphanes"	"invirae"	"Zingiberales"	"Musaceae"	"Musa"	"\N"	12	"\N"
"Opsiphanes"	"tamarindi"	"Zingiberales"	"Musaceae"	"Musa"	"\N"	12	"\N"
"Opsiphanes"	"tamarindi"	"Zingiberales"	"Heliconiaceae"	"Heliconia"	"\N"	12	"\N"
"Caligo"	"atreus"	"Zingiberales"	"Heliconiaceae"	"Heliconia"	"\N"	12	"\N"
"Caligo"	"beltrao"	"Zingiberales"	"Musaceae"	"Musa"	"\N"	12	"\N"
