generation,rank_1,rank_2,swapAccepted
1000,3,4,1
2000,1,4,1
3000,2,4,1
4000,2,3,1
5000,3,4,1
6000,2,4,1
7000,1,4,0
8000,1,3,1
9000,2,3,1
10000,3,4,1
11000,2,4,0
12000,2,3,1
13000,1,4,0
14000,1,2,1
15000,1,3,1
16000,3,4,1
17000,1,2,1
18000,3,4,1
19000,1,3,1
20000,1,3,1
21000,1,4,1
22000,1,4,0
23000,2,4,1
24000,3,4,1
25000,2,4,1
26000,3,4,0
27000,1,2,1
28000,3,4,0
29000,3,4,0
30000,1,3,1
31000,2,3,0
32000,2,3,0
33000,2,3,0
34000,1,3,0
35000,2,4,0
36000,2,4,0
37000,1,3,0
38000,2,3,0
39000,1,2,1
40000,1,4,0
41000,2,4,0
42000,3,4,1
43000,1,3,0
44000,1,2,1
45000,1,4,0
46000,3,4,1
47000,2,3,0
48000,2,3,0
49000,1,3,0
50000,3,4,1
51000,3,4,1
52000,1,3,0
53000,2,3,0
54000,1,3,0
55000,1,2,1
56000,3,4,1
57000,3,4,1
58000,3,4,0
59000,3,4,1
60000,1,2,0
61000,1,2,0
62000,1,3,0
63000,1,2,0
64000,1,3,0
65000,2,4,0
66000,2,4,0
67000,1,3,0
68000,1,2,0
69000,1,2,0
70000,2,4,0
71000,1,3,0
72000,2,4,1
73000,2,3,0
74000,1,3,0
75000,1,3,0
76000,2,3,0
77000,1,2,0
78000,3,4,1
79000,2,3,1
80000,2,3,1
81000,3,4,0
82000,1,3,0
83000,1,3,0
84000,1,3,0
85000,2,3,1
86000,2,4,0
87000,1,4,0
88000,1,3,0
89000,3,4,1
90000,1,2,0
91000,2,3,1
92000,1,3,0
93000,2,3,1
94000,2,4,0
95000,2,3,0
96000,1,4,0
97000,1,2,0
98000,2,4,0
99000,3,4,1
100000,2,4,0
101000,1,3,0
102000,1,4,0
103000,2,3,0
104000,3,4,1
105000,2,3,0
106000,2,3,0
107000,2,3,0
108000,1,2,0
109000,1,2,0
110000,1,2,0
111000,1,4,0
112000,1,3,0
113000,1,3,0
114000,1,2,0
115000,3,4,1
116000,2,4,0
117000,1,3,0
118000,1,2,0
119000,2,3,0
120000,1,4,0
121000,1,2,0
122000,1,3,0
123000,3,4,0
124000,1,3,0
125000,3,4,1
126000,1,3,0
127000,1,3,0
128000,1,3,0
129000,1,2,0
130000,2,4,0
131000,1,3,0
132000,2,3,0
133000,1,4,0
134000,1,2,0
135000,2,3,0
136000,3,4,1
137000,1,4,0
138000,1,2,0
139000,1,2,0
140000,1,4,0
141000,3,4,1
142000,1,2,0
143000,3,4,1
144000,2,3,0
145000,1,4,0
146000,3,4,1
147000,1,4,0
148000,3,4,1
149000,1,2,0
150000,1,3,0
151000,3,4,1
152000,2,4,0
153000,1,3,0
154000,1,2,0
155000,1,2,0
156000,1,3,0
157000,3,4,1
158000,1,2,0
159000,1,3,0
160000,1,2,0
161000,2,3,0
162000,3,4,1
163000,2,4,0
164000,1,3,0
165000,2,3,0
166000,3,4,1
167000,1,2,0
168000,1,3,0
169000,3,4,1
170000,1,3,0
171000,2,3,0
172000,2,3,0
173000,2,4,0
174000,2,4,0
175000,3,4,1
176000,3,4,1
177000,3,4,1
178000,2,4,0
179000,1,3,0
180000,1,4,0
181000,1,4,0
182000,1,2,0
183000,1,4,0
184000,1,3,0
185000,1,4,0
186000,2,4,0
187000,2,3,0
188000,1,3,0
189000,3,4,1
190000,1,4,0
191000,1,4,0
192000,1,3,0
193000,2,3,0
194000,3,4,1
195000,1,4,0
196000,2,3,0
197000,1,4,0
198000,1,3,0
199000,2,3,0
200000,1,2,0
201000,2,4,0
202000,1,4,0
203000,1,4,0
204000,1,3,0
205000,1,4,0
206000,2,3,0
207000,3,4,0
208000,3,4,1
209000,2,3,0
210000,3,4,1
211000,3,4,0
212000,2,4,0
213000,1,2,0
214000,1,3,0
215000,2,3,0
216000,1,4,0
217000,1,2,0
218000,3,4,0
219000,1,2,0
220000,1,2,0
221000,2,3,0
222000,2,3,0
223000,1,2,0
224000,1,4,0
225000,1,2,0
226000,1,4,0
227000,2,4,0
228000,2,4,0
229000,1,2,0
230000,1,3,0
231000,1,2,0
232000,1,4,0
233000,1,2,0
234000,2,3,0
235000,2,4,0
236000,2,3,0
237000,2,4,0
238000,2,3,0
239000,1,4,0
240000,2,3,0
241000,3,4,1
242000,1,2,0
243000,3,4,1
244000,1,4,0
245000,3,4,1
246000,1,2,0
247000,2,4,0
248000,2,4,0
249000,3,4,1
250000,2,4,0
251000,3,4,1
252000,2,4,0
253000,2,4,0
254000,1,2,0
255000,2,4,0
256000,2,4,0
257000,1,2,0
258000,1,2,0
259000,2,3,0
260000,3,4,0
261000,1,2,0
262000,2,3,0
263000,1,4,0
264000,2,4,0
265000,1,4,0
266000,1,4,0
267000,1,3,0
268000,1,2,0
269000,1,3,0
270000,2,3,0
271000,2,4,0
272000,1,3,0
273000,2,3,0
274000,2,4,0
275000,2,4,0
276000,2,4,0
277000,1,2,0
278000,1,2,0
279000,1,3,0
280000,1,4,0
281000,1,4,0
282000,3,4,0
283000,2,3,0
284000,1,4,0
285000,1,3,0
286000,1,4,0
287000,1,2,0
288000,1,4,0
289000,1,2,0
290000,1,3,0
291000,3,4,0
292000,1,4,0
293000,1,3,0
294000,2,3,0
295000,1,3,0
296000,2,4,0
297000,1,2,0
298000,1,4,0
299000,3,4,0
300000,3,4,0
301000,2,4,0
302000,2,4,0
303000,1,3,0
304000,1,4,0
305000,2,3,0
306000,1,4,0
307000,2,4,0
308000,2,3,0
309000,2,4,0
310000,1,4,0
311000,1,2,0
312000,3,4,0
313000,2,3,0
314000,2,4,0
315000,3,4,0
316000,2,3,0
317000,1,3,0
318000,1,2,0
319000,3,4,0
320000,1,4,0
321000,2,4,0
322000,1,4,0
323000,2,3,0
324000,1,4,0
325000,1,2,0
326000,1,4,0
327000,2,4,0
328000,1,4,0
329000,1,2,1
330000,2,4,0
331000,3,4,0
332000,1,3,0
333000,1,4,0
334000,1,4,0
335000,1,2,1
336000,1,4,0
337000,1,2,1
338000,1,4,0
339000,3,4,0
340000,2,3,0
341000,1,4,0
342000,2,4,0
343000,1,3,0
344000,1,4,0
345000,1,2,1
346000,3,4,0
347000,1,3,0
348000,1,4,0
349000,1,2,0
350000,2,4,0
351000,2,3,0
352000,1,2,0
353000,1,4,0
354000,3,4,0
355000,1,3,0
356000,2,3,0
357000,2,3,0
358000,2,4,0
359000,2,4,0
360000,1,4,0
361000,1,3,0
362000,3,4,1
363000,1,4,0
364000,1,2,0
365000,2,3,0
366000,2,3,0
367000,3,4,1
368000,2,3,0
369000,1,4,0
370000,1,3,0
371000,1,3,0
372000,1,2,0
373000,1,3,0
374000,2,3,0
375000,1,4,0
376000,2,4,0
377000,3,4,0
378000,2,3,0
379000,1,4,0
380000,1,3,0
381000,2,4,0
382000,2,4,0
383000,1,4,0
384000,2,4,0
385000,1,2,0
386000,1,2,0
387000,1,4,0
388000,2,4,0
389000,3,4,0
390000,1,3,0
391000,1,4,0
392000,2,3,0
393000,1,4,0
394000,3,4,1
395000,1,3,0
396000,1,2,0
397000,1,4,0
398000,2,3,0
399000,1,3,0
400000,2,3,0
401000,3,4,1
402000,2,3,0
403000,1,2,0
404000,2,4,0
405000,3,4,0
406000,1,4,0
407000,2,4,0
408000,2,3,0
409000,1,4,0
410000,1,3,0
411000,1,2,0
412000,2,4,0
413000,1,3,0
414000,2,3,0
415000,1,2,0
416000,2,4,0
417000,3,4,1
418000,3,4,1
419000,2,4,0
420000,3,4,1
421000,1,2,1
422000,2,3,0
423000,1,4,0
424000,1,2,1
425000,2,4,0
426000,3,4,1
427000,3,4,1
428000,1,2,0
429000,1,2,0
430000,3,4,1
431000,1,4,0
432000,1,4,0
433000,1,2,1
434000,1,3,0
435000,1,4,0
436000,1,3,0
437000,1,2,1
438000,1,4,0
439000,3,4,0
440000,1,4,0
441000,1,4,0
442000,1,3,0
443000,1,4,0
444000,3,4,1
445000,1,4,0
446000,2,3,0
447000,1,2,0
448000,1,2,0
449000,2,4,0
450000,1,3,0
451000,2,4,0
452000,1,3,0
453000,2,3,0
454000,1,4,0
455000,2,3,0
456000,2,4,0
457000,2,4,0
458000,3,4,1
459000,1,2,0
460000,3,4,1
461000,1,3,0
462000,1,2,0
463000,3,4,1
464000,2,3,0
465000,2,4,0
466000,3,4,1
467000,3,4,1
468000,2,3,0
469000,3,4,1
470000,2,4,0
471000,3,4,1
472000,1,4,0
473000,2,3,0
474000,2,4,0
475000,1,3,0
476000,1,4,0
477000,1,2,1
478000,1,3,0
479000,2,3,0
480000,3,4,1
481000,1,2,1
482000,2,3,0
483000,3,4,0
484000,1,3,0
485000,1,2,0
486000,1,2,0
487000,1,3,0
488000,3,4,0
489000,2,4,0
490000,2,4,0
491000,2,3,0
492000,1,4,0
493000,2,4,0
494000,3,4,1
495000,1,3,0
496000,1,3,0
497000,2,3,0
498000,1,3,0
499000,1,2,0
500000,3,4,1
501000,2,4,0
502000,1,4,0
503000,1,3,0
504000,2,3,0
505000,3,4,1
506000,2,3,0
507000,3,4,1
508000,2,3,0
509000,2,3,0
510000,1,2,0
511000,2,4,0
512000,1,2,0
513000,1,3,0
514000,1,2,1
515000,3,4,1
516000,3,4,1
517000,2,3,0
518000,3,4,1
519000,2,3,0
520000,1,4,0
521000,2,4,0
522000,3,4,1
523000,2,4,0
524000,1,2,1
525000,3,4,1
526000,1,4,0
527000,1,4,0
528000,1,4,0
529000,1,2,0
530000,1,2,0
531000,1,2,0
532000,3,4,1
533000,3,4,1
534000,2,4,0
535000,1,2,0
536000,3,4,0
537000,2,4,0
538000,2,3,0
539000,2,3,0
540000,2,3,1
541000,1,3,0
542000,3,4,0
543000,2,4,1
544000,1,2,0
545000,2,4,1
546000,1,3,0
547000,1,4,0
548000,2,3,1
549000,1,4,0
550000,3,4,1
551000,2,4,0
552000,3,4,1
553000,1,2,0
554000,1,2,0
555000,1,2,1
556000,1,3,0
557000,2,4,0
558000,2,4,0
559000,1,2,1
560000,2,3,0
561000,1,3,0
562000,2,3,1
563000,1,2,0
564000,3,4,0
565000,1,2,0
566000,2,4,1
567000,2,4,1
568000,3,4,0
569000,1,2,0
570000,3,4,0
571000,2,3,1
572000,2,4,0
573000,1,2,0
574000,3,4,1
575000,2,4,0
576000,2,4,0
577000,1,3,0
578000,3,4,1
579000,3,4,1
580000,1,2,0
581000,2,4,0
582000,1,3,0
583000,1,4,0
584000,2,3,1
585000,1,3,0
586000,2,3,1
587000,1,4,0
588000,2,4,0
589000,3,4,1
590000,2,4,0
591000,1,2,0
592000,3,4,1
593000,2,4,0
594000,1,3,0
595000,1,2,0
596000,2,3,0
597000,1,4,0
598000,2,3,0
599000,1,2,0
600000,2,4,0
601000,2,3,0
602000,1,4,0
603000,1,3,0
604000,3,4,1
605000,1,4,0
606000,1,3,0
607000,1,2,0
608000,2,4,0
609000,3,4,0
610000,1,4,0
611000,1,4,0
612000,1,3,0
613000,2,4,0
614000,1,4,0
615000,1,4,0
616000,2,3,0
617000,2,4,0
618000,1,2,0
619000,1,4,0
620000,1,2,0
621000,2,4,0
622000,3,4,1
623000,1,3,0
624000,1,2,1
625000,2,4,0
626000,2,4,0
627000,3,4,1
628000,1,4,0
629000,2,4,0
630000,1,2,1
631000,2,3,0
632000,1,4,0
633000,3,4,1
634000,1,3,0
635000,1,3,0
636000,1,4,0
637000,2,3,0
638000,2,4,0
639000,2,4,0
640000,1,2,0
641000,1,4,0
642000,1,2,1
643000,3,4,1
644000,2,3,0
645000,2,4,0
646000,1,2,1
647000,1,2,0
648000,1,2,1
649000,3,4,0
650000,1,2,1
651000,2,3,0
652000,3,4,0
653000,1,3,0
654000,1,4,0
655000,1,2,0
656000,2,3,0
657000,3,4,0
658000,2,3,0
659000,1,2,0
660000,1,4,0
661000,1,3,0
662000,1,4,0
663000,2,3,0
664000,3,4,0
665000,1,4,0
666000,2,4,0
667000,1,3,0
668000,2,3,0
669000,3,4,0
670000,2,3,0
671000,1,2,0
672000,3,4,0
673000,2,3,0
674000,2,4,0
675000,2,3,0
676000,2,4,0
677000,3,4,0
678000,2,3,0
679000,1,2,0
680000,3,4,1
681000,2,4,0
682000,2,4,0
683000,2,4,0
684000,2,4,0
685000,1,4,0
686000,1,4,0
687000,1,3,0
688000,2,4,0
689000,1,2,1
690000,2,4,0
691000,2,4,0
692000,2,4,0
693000,1,3,0
694000,3,4,1
695000,1,2,1
696000,1,2,0
697000,2,4,0
698000,1,3,0
699000,3,4,0
700000,1,2,0
701000,1,3,0
702000,1,2,1
703000,1,4,0
704000,1,3,0
705000,2,3,0
706000,1,3,0
707000,2,3,0
708000,1,2,1
709000,1,4,0
710000,1,4,0
711000,3,4,1
712000,2,3,0
713000,2,4,0
714000,3,4,1
715000,1,4,0
716000,1,3,0
717000,1,2,0
718000,2,3,1
719000,3,4,0
720000,2,3,1
721000,2,4,0
722000,2,3,0
723000,1,4,0
724000,2,3,0
725000,2,3,0
726000,3,4,0
727000,3,4,0
728000,2,4,0
729000,2,3,0
730000,1,2,0
731000,3,4,0
732000,2,4,0
733000,1,4,0
734000,2,4,0
735000,1,4,0
736000,1,3,0
737000,1,2,0
738000,1,2,0
739000,2,4,0
740000,3,4,0
741000,2,4,0
742000,1,2,0
743000,1,3,0
744000,1,3,0
745000,1,2,1
746000,2,4,0
747000,1,2,1
748000,3,4,0
749000,2,4,0
750000,3,4,0
751000,1,2,0
752000,2,4,0
753000,3,4,0
754000,1,4,0
755000,1,3,0
756000,1,2,0
757000,2,4,0
758000,3,4,0
759000,1,2,0
760000,3,4,1
761000,1,3,0
762000,2,3,0
763000,1,2,0
764000,2,3,0
765000,1,2,0
766000,1,2,1
767000,2,3,0
768000,3,4,1
769000,3,4,0
770000,3,4,0
771000,1,2,1
772000,2,3,0
773000,3,4,0
774000,2,3,0
