generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-0.921072,-1355.13,1,0
2000,1,-0.479001,304.687,0.130547,0.50075
4000,2,-1.69806,507.952,0.710217,0.364
6000,1,-0.479029,638.694,0.225864,0.3065
8000,2,-0.995402,708.456,0.129026,0.36308
10000,2,-0.271516,771.497,0.473667,0.28
12000,2,-3.31141,796.411,2.18498,0.264
14000,3,-2.38514,843.649,1.71194,0.327762
16000,3,-0.908064,883.711,0.470561,0.2608
18000,3,-4.72444,910.102,1.05919,0.246333
20000,4,-2.01559,951.077,0.322024,0.2375
22000,3,0.00295628,988.885,0.114201,0.317364
24000,3,-3.37788,1007.51,2.90285,0.2505
26000,3,-1.81769,1029.31,2.07287,0.2305
28000,3,-1.82903,954.751,0.213837,0.241071
30000,4,-0.258429,1056.45,0.105589,0.228714
32000,5,-0.942458,1083.96,0.885653,0.21
34000,6,-1.37812,1129.65,2.33828,0.2185
36000,6,-3.87978,1141.02,0.400452,0.205
38000,6,-3.5946,1143.67,0.529065,0.197
40000,6,-4.83238,1282.44,2.60252,0.2205
42000,6,-4.51541,1301.5,0.335586,0.2065
44000,6,0.486432,1160.8,0.184845,0.194833
46000,7,-3.28514,1210.81,0.200536,0.202
48000,7,-2.74212,1222.72,0.237264,0.1845
50000,7,-7.02562,1235.14,3.25421,0.1885
52000,7,-3.49908,1239.96,0.227256,0.198
54000,7,-4.68309,1273.71,0.232682,0.194
56000,7,-11.5804,1482.62,0.633978,0.195929
58000,7,-4.93616,1491.85,0.0773428,0.1745
60000,7,-3.32208,1496.64,1.29673,0.1685
62000,8,-7.16716,1508.78,2.68636,0.1935
64000,7,-3.92352,1544.85,1.89695,0.1685
66000,7,-4.81372,1579.96,1.88415,0.178
68000,7,-7.41261,1611.57,2.77631,0.1865
70000,7,-5.41971,1615.33,0.266488,0.189
72000,7,-6.53952,1647.47,2.31797,0.167
74000,6,-3.62955,1676.03,0.0854663,0.1575
76000,6,-2.30755,1730.32,0.580539,0.18
78000,6,-6.39142,1754.15,0.422024,0.161
80000,6,-7.2427,1761.23,1.27273,0.1595
82000,6,-4.7321,1781.04,0.68651,0.1635
84000,6,-3.85914,1797.89,0.715517,0.167
86000,6,-6.91217,1840.85,2.69579,0.1535
88000,6,-8.62165,1898.79,0.0974299,0.1555
90000,6,-5.14799,1912.62,1.72311,0.1515
92000,6,-4.41048,1931.42,0.86119,0.157
94000,6,-4.97916,1955.96,0.379042,0.1405
96000,6,-3.53225,1974.22,1.80612,0.148
98000,6,-8.48524,1986.37,3.79883,0.1465
100000,6,-6.42749,1992.09,3.66452,0.163
102000,6,-3.46645,2017.53,0.275829,0.145
104000,6,-5.99938,2025.61,0.797447,0.1505
106000,6,-9.03729,2050.42,4.26183,0.1455
108000,6,-13.4763,2047.63,3.13339,0.1605
110000,7,-6.97847,2064.86,0.0915752,0.1495
112000,7,-7.7344,2085.2,0.0803397,0.13
114000,7,-10.5318,2113.57,3.79581,0.135
116000,7,-12.8572,2132.57,2.11417,0.1375
118000,7,-5.98857,2153.94,0.0160581,0.1345
120000,7,-8.73189,2178.29,2.03618,0.141
122000,7,-9.45789,2195.53,1.08281,0.1195
124000,7,-4.91215,2196.6,0.236785,0.1455
126000,7,-9.4436,2204.63,0.227571,0.143
128000,8,-2.25757,2221.57,0.374331,0.145
130000,7,-6.8579,2236.45,0.308423,0.1365
132000,7,-5.01545,2238.96,0.378264,0.1335
134000,7,-7.21932,2252.95,0.304531,0.1295
136000,7,-6.32998,2261.42,0.144437,0.1235
138000,7,-11.0093,2248.89,2.15916,0.1335
140000,7,-3.28329,2248.12,0.0811298,0.127
142000,7,-2.90181,2264.96,0.447453,0.1355
144000,7,-4.73334,2283.1,2.59206,0.1125
146000,7,-3.09135,2312.84,1.02471,0.128
148000,7,-0.898092,2335.68,0.221574,0.1215
150000,7,-3.71965,2338.64,2.31405,0.1255
152000,7,-6.25295,2351.39,5.95297,0.13
154000,7,-2.61977,2342.23,2.09471,0.1185
156000,7,-0.546136,2366.02,1.1143,0.113
158000,7,-2.24192,2380.27,0.724428,0.1195
160000,7,-4.26199,2384.32,0.49922,0.115
162000,7,-4.14164,2392.45,0.0304898,0.124
164000,7,-13.8164,2421.49,0.0248838,0.1165
166000,7,-6.01216,2437.33,0.466998,0.1195
168000,7,-10.9117,2452.42,2.11875,0.114
170000,7,-6.17854,2470.48,1.75371,0.1185
172000,7,-7.41662,2477.52,0.388645,0.1065
174000,7,-4.89535,2496.88,0.463867,0.1145
176000,7,-3.54985,2499.71,0.103183,0.1015
178000,8,-5.72925,2507.26,1.67214,0.1175
180000,7,-6.36582,2538.19,4.32758,0.1175
182000,7,-2.19377,2555.47,1.0932,0.112
184000,7,-3.36217,2555.97,0.372253,0.1065
186000,7,-5.19388,2574.97,0.534075,0.1
188000,7,-6.33259,2580.4,1.43113,0.1255
190000,7,-8.40129,2575.2,1.24157,0.1115
192000,7,-4.1914,2576.5,0.548788,0.1105
194000,7,-3.75215,2575.37,0.96914,0.1055
196000,7,-3.74802,2583.71,0.266601,0.1185
198000,7,-7.45743,2579.45,1.72024,0.1115
200000,7,-6.62939,2574.65,0.0594419,0.109
202000,7,-4.09074,2581.74,0.689977,0.1115
204000,7,-6.93883,2583.45,3.40444,0.1105
206000,7,-4.12442,2603.76,0.899592,0.104
208000,7,-6.21014,2616.5,3.23555,0.096
210000,7,-4.60343,2612.04,0.0180211,0.113
212000,7,-4.1924,2616.11,0.667152,0.1135
214000,7,-3.10403,2611.51,0.254922,0.1095
216000,7,-3.60939,2614.21,0.791697,0.108
218000,7,-2.54293,2626.38,0.300435,0.1075
220000,7,-0.926744,2642.56,0.117645,0.1115
222000,7,-1.71581,2645.84,1.02278,0.1135
224000,7,-1.98676,2660.66,0.353549,0.0895
226000,7,-3.0383,2679.56,0.36273,0.1145
228000,7,-6.32987,2689.08,1.57063,0.109
230000,7,-4.53926,2680.89,1.51779,0.125
232000,7,-5.25424,2678.68,0.370415,0.1055
234000,7,-5.72645,2676.42,0.807183,0.1205
236000,7,-4.46791,2678.51,0.384104,0.1125
238000,7,-4.1248,2680.77,1.52952,0.094
240000,7,-4.79921,2680.68,2.18639,0.1055
242000,7,-3.27148,2695.37,0.805967,0.104
244000,7,-6.12051,2704.63,2.72065,0.107
246000,7,-10.2404,2702.42,6.255,0.11
248000,7,-4.20017,2707.4,0.718857,0.1
250000,7,-5.70666,2717.04,0.215582,0.1135
252000,7,-5.82886,2727.18,0.442339,0.1245
254000,7,-4.46979,2731.82,1.04142,0.1
256000,7,-2.82891,2738.01,0.17617,0.096
258000,7,-5.75033,2750,1.00614,0.102
260000,7,-8.25559,2749.87,2.15953,0.102
262000,7,-3.27863,2750.87,0.402044,0.098
264000,7,-2.10024,2756.38,0.424508,0.11
266000,7,-0.249732,2744.72,0.15896,0.1065
268000,7,-1.20363,2755.51,0.28237,0.1075
270000,7,-1.16052,2765.21,0.682693,0.104
272000,7,-4.26189,2769.38,0.287389,0.096
274000,7,-5.96202,2768.38,1.08595,0.1035
276000,7,-4.5424,2769.21,1.05275,0.103
278000,7,-2.02699,2775.23,0.300053,0.105
280000,7,-1.00511,2773.04,0.236801,0.095
282000,7,-6.19208,2782.79,2.47353,0.1005
284000,7,-6.54827,2791.03,1.17495,0.0965
286000,7,-4.02676,2796.86,0.185069,0.0905
288000,7,-12.571,2816.54,1.77002,0.0995
290000,7,-8.72235,2828.55,0.0772489,0.1095
292000,7,-2.73447,2825.46,0.877721,0.1035
294000,7,-3.21305,2834,0.615276,0.1005
296000,7,-5.47824,2836.35,0.143775,0.1095
298000,7,-3.34304,2848.42,0.587567,0.1055
300000,7,-7.14177,2854.57,1.62392,0.0995
302000,7,-5.96136,2865.85,1.93651,0.0955
304000,7,-3.48785,2887.03,1.78052,0.1005
306000,7,-3.33003,2883.75,0.302873,0.1005
308000,7,-4.14209,2894.28,0.0746122,0.106
310000,7,-6.94482,2894.65,2.25565,0.1025
312000,7,-0.475357,2893.37,0.566374,0.102
314000,7,-3.91701,2901.39,1.25595,0.106
316000,7,-3.3545,2913.46,2.56302,0.11
318000,7,-3.86171,2917.92,0.431401,0.1075
320000,7,-1.62414,2919.65,0.578732,0.102
322000,7,-4.35762,2919.14,0.678684,0.1005
324000,7,-9.13988,2919.71,0.0367496,0.1055
326000,7,-7.93508,2921.51,1.12239,0.113
328000,7,-10.3214,2919.35,0.125076,0.0945
330000,8,-6.79354,2703.29,0.722977,0.14012
332000,8,-3.79028,2716.6,0.261225,0.11
334000,8,-6.43047,2723.84,1.07321,0.1275
336000,7,-9.42155,2925.58,2.27814,0.108625
338000,8,-14.0526,2733.79,2.23386,0.11425
340000,8,-6.39999,2752.91,2.1325,0.113
342000,8,-2.79436,2770.01,0.797964,0.118
344000,8,-4.33985,2789.66,1.93132,0.1005
346000,7,-4.0134,2937.14,1.38547,0.1014
348000,7,-5.22862,2943.71,1.76739,0.096
350000,7,-3.48517,2944.64,1.20513,0.0995
352000,7,-1.67637,2954.33,0.904842,0.1065
354000,7,-4.58593,2952.47,0.287086,0.1
356000,7,-5.28046,2958.71,0.367938,0.11
358000,7,-5.36764,2951.93,1.66259,0.1025
360000,7,-3.01001,2954.22,0.39964,0.106
362000,7,-6.11764,2970.06,1.47372,0.095
364000,7,-7.14673,2976.48,0.0302033,0.102
366000,7,-5.83643,2972.62,2.48962,0.101
368000,7,-3.644,2988.2,0.154934,0.1005
370000,7,-4.01198,2995.81,1.13849,0.106
372000,7,-2.75451,2994.67,0.177973,0.113
374000,7,-1.92465,2999.75,0.759683,0.0925
