"index" "tip" "sample size (N)" "r (mean)" "r (sd)" "epsilon (mean)" "epsilon (sd)" "lnlik (mean)" "lnlik (sd)"
1 "n" 2 0.0790075703463956 0.00262226029845216 0.289689395051868 0.0349390584021535 -1261.82041449658 3.80335696037044
14 "n" 2 0.180674249672285 0.0058165007350809 0.319173988675813 0.0372533604336824 -144.888276496282 0.097492228254983
48 "n" 2 0.0652314015989673 0.000460541837986243 0.935049004390235 0.00057650436999177 -45.5071547343199 0.0437551666742871
56 "n" 2 0.0523464139979374 0.00260310816894838 0.950001651937733 0.00548057214704357 -418.501178626997 2.17817469675748
82 "y" 2 0.238636502326699 0.00274356712324075 0.541556370671606 0.0129839194215843 -6.26009510344001 5.94440898686975e-09
93 "y" 1 0.202424725517631 NA 0.535875119641424 NA -4.79546817637402 NA
154 "n" 2 0.207148415236645 0.00264112615099529 1.2700067100802e-06 1.09057303051801e-06 -41.4430469707304 0.0844635515283525
193 "n" 2 0.20198163182548 0.0110914372459944 1.00897895378957e-05 1.41925009086957e-05 -11.2666873672549 0.241847855890218
231 "n" 1 0.128951902856776 NA 1.77898336205569e-06 NA -526.674372242425 NA
232 "n" 1 0.129488777042472 NA 0.124403512507065 NA -542.859413774071 NA
254 "n" 1 0.0735098671057969 NA 0.956580071202098 NA -12.1855075399123 NA
343 "n" 2 0.161532656466265 0.0188366019890564 0.441912018052723 0.295276856527116 -66.4001340410675 0.62961968587003
361 "y" 2 0.317905055440497 0.021423946933994 0.596074247604702 0.0446436652713984 -4.19860373317009 3.58416913124952e-08
391 "y" 2 0.31005050400272 0.00131517265144721 0.597001026850194 0.0261021752221065 -6.30578836604322 1.4771353230785e-08
