Genus,included_in_clade,clade,stem_age,#_tips_included,branching_times
Libytheana,1,1,26.97251953,1,94.4460976342
Libythea,2,2,26.97251953,1,89.7876395802
Olyras,130,3,27.557052966,1,85.3511084832
Paititia,130,4,37.153130622,1,78.5548267012
Melinaea,130,5,45.737991062,1,75.6593567952
Athyrtis,130,6,26.011547923,1,71.6412217472
Athesis,131,7,29.869934672,1,70.3461420952
Patricia,131,8,32.265166383,1,67.9615008712
Hyposcada,132,9,43.986191603,1,65.7540967662
Oleria,132,10,43.989396594,1,61.7957692582
Ollantaya,132,11,32.219213544,1,61.7347401602
Megoleria,132,12,37.079899804,1,60.7102827772
Epityches,133,13,37.453039978,1,57.9912635022
Napeogenes,133,14,24.636087503,1,57.0271583212
Hypothyris,133,15,28.840208621,1,56.3088672682
Hyalyris,133,16,37.141877149,1,56.1629914512
Placidina,133,17,37.141877149,1,55.7173061332
Pagyris,133,18,35.883547189,1,52.5132047822
Ithomia,133,19,35.758079665,1,52.2641453692
Hypoleria,133,20,25.787370826,1,52.1409811872
Mcclungia,133,21,39.930589158,1,51.7660821702
Brevioleria,133,22,24.364736278,1,50.8058102282
Heterosais,133,23,57.027158307,1,50.2193359862
Pseudoscada,133,24,33.358242012,1,49.7067723022
Greta,133,25,33.358242012,1,49.6358094262
Godyris,133,26,41.290364004,1,49.4140652952
Veladyris,133,27,57.991263488,1,49.2625630172
Velamysta,133,28,37.253845606,1,49.1411375922
Callithomia,133,29,33.124310185,1,48.7578922052
Dircenna,133,30,30.128630412,1,48.5832814482
Hyalenna,133,31,30.128630412,1,48.5318295322
Pteronymia,133,32,33.295798195,1,48.4545084452
Ceratinia,133,33,29.93345904,1,48.0753309742
Episcada,133,34,35.040621774,1,47.7129786232
Methona,3,35,49.706772288,1,47.2147513922
Tithorea,134,36,25.818257849,1,46.9306716852
Elzunia,134,37,25.818257849,1,46.8606692942
Aeria,134,38,39.195647619,1,46.7287893312
Mechanitis,135,39,40.418171173,1,46.5383978072
Forbestra,135,40,26.376612333,1,46.5296953932
Scada,136,41,42.526418644,1,45.8220036872
Sais,136,42,35.391776109,1,45.7577862912
Thyridia,4,43,26.823081742,1,45.7379910762
Tellervo,5,44,24.682252194,1,45.3938959802
Anetia,137,45,24.682252194,1,44.8547747272
Lycorea,137,46,26.89989188,1,44.6491994002
Ituna,137,47,29.012055166,1,44.2807851562
Tirumala,138,48,24.333932258,1,43.9893966082
Danaus,138,49,33.148621258,1,43.9861916172
Amauris,139,50,26.597168167,1,43.9123060982
Parantica,139,51,26.597168167,1,43.5968541552
Ideopsis,139,52,26.669042752,1,43.3508617592
Euploea,140,53,26.669042752,1,43.0988328572
Idea,140,54,25.310920959,1,42.7048471402
Dryadula,141,55,39.033153587,1,42.6753227912
Dryas,141,56,49.262563003,1,42.5264186582
Philaethria,6,57,34.041984272,1,42.3923669122
Dione,142,58,34.041984272,1,42.2324204472
Agraulis,142,59,41.235352009,1,41.7480809562
Heliconius,143,60,75.659356781,1,41.6756402502
Eueides,143,61,33.614343321,1,41.6410917442
Altinote,144,62,38.787301325,1,41.2903640182
Actinote,144,63,27.170810735,1,41.2353520232
Bematistes,7,64,38.901881093,1,41.0763910032
Acraea,8,65,38.901881093,1,40.9650852222
Cethosia,9,66,40.188967211,1,40.6850801292
Vindula,10,67,31.212922946,1,40.4181711872
Algia,145,68,31.212922946,1,40.1889672252
Algiachroa,145,69,36.981012024,1,40.0189687392
Cirrochroa,145,70,27.497431771,1,39.9513599092
Lachnoptera,11,71,33.238896648,1,39.9305891722
Vagrans,146,72,33.238896648,1,39.7469349642
Phalanta,146,73,30.646510464,1,39.3860314302
Cupha,146,74,30.646510464,1,39.1956476332
Euptoieta,12,75,31.969093797,1,39.1036319382
