"clades","branching_times","stem_ages","species_numbers"
1,94.4460976342,26.97251953,4
2,89.7876395802,26.97251953,9
3,85.3511084832,27.557052966,7
4,78.5548267012,37.153130622,1
5,75.6593567952,45.737991062,9
6,71.6412217472,26.011547923,7
7,70.3461420952,29.869934672,25
8,67.9615008712,32.265166383,240
9,65.7540967662,43.986191603,16
10,61.7957692582,43.989396594,4
11,61.7347401602,32.219213544,2
12,60.7102827772,37.079899804,9
13,57.9912635022,37.453039978,8
14,57.0271583212,24.636087503,6
15,56.3088672682,28.840208621,1
16,56.1629914512,37.141877149,1
17,55.7173061332,37.141877149,17
18,52.5132047822,35.883547189,5
19,52.2641453692,35.758079665,31
20,52.1409811872,25.787370826,7
21,51.7660821702,39.930589158,3
22,50.8058102282,24.364736278,90
23,50.2193359862,57.027158307,3
24,49.7067723022,33.358242012,6
25,49.6358094262,33.358242012,20
26,49.4140652952,41.290364004,17
27,49.2625630172,57.991263488,1
28,49.1411375922,37.253845606,2
29,48.7578922052,33.124310185,7
30,48.5832814482,30.128630412,9
31,48.5318295322,30.128630412,13
32,48.4545084452,33.295798195,19
33,48.0753309742,29.93345904,6
34,47.7129786232,35.040621774,14
35,47.2147513922,49.706772288,1
36,46.9306716852,25.818257849,5
37,46.8606692942,25.818257849,1
38,46.7287893312,39.195647619,1
39,46.5383978072,40.418171173,1
40,46.5296953932,26.376612333,10
41,45.8220036872,42.526418644,10
42,45.7577862912,35.391776109,15
43,45.7379910762,26.823081742,2
44,45.3938959802,24.682252194,2
45,44.8547747272,24.682252194,2
46,44.6491994002,26.89989188,75
47,44.2807851562,29.012055166,15
48,43.9893966082,24.333932258,2
49,43.9861916172,33.148621258,8
50,43.9123060982,26.597168167,19
51,43.5968541552,26.597168167,40
52,43.3508617592,26.669042752,4
53,43.0988328572,26.669042752,20
54,42.7048471402,25.310920959,6
55,42.6753227912,39.033153587,40
56,42.5264186582,49.262563003,1
57,42.3923669122,34.041984272,2
58,42.2324204472,34.041984272,2
59,41.7480809562,41.235352009,2
60,41.6756402502,75.659356781,7
61,41.6410917442,33.614343321,9
62,41.2903640182,38.787301325,1
63,41.2353520232,27.170810735,4
64,41.0763910032,38.901881093,1
65,40.9650852222,38.901881093,1
66,40.6850801292,40.188967211,4
67,40.4181711872,31.212922946,4
68,40.1889672252,31.212922946,1
69,40.0189687392,36.981012024,2
70,39.9513599092,27.497431771,1
71,39.9305891722,33.238896648,1
72,39.7469349642,33.238896648,3
73,39.3860314302,30.646510464,3
74,39.1956476332,30.646510464,10
75,39.1036319382,31.969093797,6
76,39.0982688622,31.969093797,7
77,39.0939607492,27.586834756,1
78,39.0331536012,44.280785142,6
79,39.0222079692,37.759467203,2
80,38.9018811072,32.167300916,2
81,38.7873013392,32.167300916,5
82,38.5067879202,44.649199386,16
83,38.1473766302,24.153703393,120
84,38.1431683802,24.153703393,86
85,37.8660752612,36.575305299,26
86,37.8296050322,33.062130888,4
87,37.7732670222,28.193501704,6
88,37.7667107702,49.141137578,4
89,37.7594672172,26.468467214,15
90,37.4530399922,28.54161519,11
91,37.4247233022,25.303140931,6
92,37.4122180482,25.303140931,11
93,37.2538456202,30.411656268,1
94,37.1531306362,27.551344759,3
95,37.1418771632,27.551344759,9
96,37.1028866832,42.392366898,32
97,37.0798998182,45.757786277,14
98,37.0168578372,26.814662868,3
99,36.9810120382,30.850544804,9
100,36.9209495112,37.016857823,29
