clades,branching_times,stem_ages,species_numbers,,conditioned on number of species,,,,conditioned on mrca,,
1,94.4460976342,26.97251953,4,,likelihood,lambda,mu,,likelihood,lambda,mu
2,89.7876395802,26.97251953,9,,-1676.213276537,0.463414,0.4026613221,,-1681.6956157824,0.4721054261,0.4083881583
3,85.3511084832,27.557052966,7,,-1675.8066906899,0.4580588621,0.3946393808,,-1681.8206194767,0.4813819153,0.4173804763
4,78.5548267012,37.153130622,1,,-1675.7654201865,0.4551921985,0.390949376,,-1684.2399351444,0.4801126994,0.4092804063
5,75.6593567952,45.737991062,9,,-1677.6816175789,0.4587790303,0.4011964055,,-1681.79430747,0.4805664232,0.4166953594
6,71.6412217472,26.011547923,7,,-1676.2579860396,0.4852041904,0.419592979,,-1682.2720165703,0.4921351564,0.4270664135
7,70.3461420952,29.869934672,25,,-1676.3602231223,0.4869005707,0.4210878556,,-1683.2741464932,0.5084778889,0.4538823967
8,67.9615008712,32.265166383,240,,-1676.9608914861,0.4866661044,0.4297064358,,-1682.3184942964,0.516982948,0.4593567246
9,65.7540967662,43.986191603,16,,-1675.7783343393,0.4725728467,0.4090043897,,-1682.7769321322,0.5196612153,0.4640741945
10,61.7957692582,43.989396594,4,,-1675.7815152729,0.4717064505,0.4086476615,,-1682.5342038041,0.5182935379,0.4617708454
11,61.7347401602,32.219213544,2,,-1675.8712270479,0.4840892362,0.4222356691,,-1682.9141137319,0.5280646468,0.4653949568
12,60.7102827772,37.079899804,9,,-1676.1233261236,0.5028625632,0.4430260844,,-1682.4488277916,0.5264048911,0.469184829
13,57.9912635022,37.453039978,8,,-1676.3272302349,0.508404167,0.4457548234,,-1683.1001815298,0.5426631601,0.481544355
14,57.0271583212,24.636087503,6,,-1677.6135606223,0.4959530883,0.4278122625,,-1682.6196133138,0.5230726281,0.4608109572
15,56.3088672682,28.840208621,1,,-1675.875169086,0.4860167067,0.4235230962,,-1682.526495239,0.5283789549,0.4675513014
16,56.1629914512,37.141877149,1,,-1675.8360602474,0.4806632546,0.4183492323,,-1682.5257921814,0.5208019247,0.4642291358
17,55.7173061332,37.141877149,17,,-1675.8872397116,0.487330973,0.4252579626,,-1682.3304919819,0.5260764756,0.4669111887
18,52.5132047822,35.883547189,5,,-1676.4900207459,0.5075792966,0.4499890539,,-1682.3976080226,0.5244322479,0.4669628748
19,52.2641453692,35.758079665,31,,-1676.6499020216,0.5265384222,0.4653335033,,-1682.5029434468,0.5343164767,0.4756037772
20,52.1409811872,25.787370826,7,,-1678.0426761652,0.5220028496,0.4558326022,,-1684.2026640382,0.5180867367,0.4657810687
21,51.7660821702,39.930589158,3,,-1676.1335505182,0.504261609,0.4444074245,,-1683.378815932,0.5304997071,0.4768812405
22,50.8058102282,24.364736278,90,,-1676.2623285419,0.5122812027,0.4530549296,,-1682.8607086313,0.5395713393,0.4790022339
23,50.2193359862,57.027158307,3,,-1676.5079703026,0.5155654353,0.4580254257,,-1682.9863724919,0.5285352319,0.4737485453
24,49.7067723022,33.358242012,6,,-1677.3772283737,0.5192565364,0.4542823699,,-1682.4554407456,0.5322428273,0.4735534774
25,49.6358094262,33.358242012,20,,-1676.6259750752,0.513867166,0.4568947374,,-1682.5356874024,0.5272689295,0.4705826195
26,49.4140652952,41.290364004,17,,-1676.1743061754,0.5093119912,0.4488785018,,-1682.5512160619,0.5264775666,0.4651288692
27,49.2625630172,57.991263488,1,,-1677.6692129723,0.5115506958,0.4574317069,,-1682.6780141054,0.5369098802,0.4769061524
28,49.1411375922,37.253845606,2,,-1676.845248013,0.5201030372,0.4640141936,,-1682.6251729507,0.5356589243,0.4789902634
29,48.7578922052,33.124310185,7,,-1678.1892689842,0.5029282713,0.44938023,,-1682.0963884453,0.5027482984,0.4439784163
30,48.5832814482,30.128630412,9,,-1676.2742741742,0.5025542615,0.4392346796,,-1682.4053855931,0.5174508686,0.4553155693
31,48.5318295322,30.128630412,13,,-1675.9458432505,0.4855373466,0.421759781,,-1682.302521647,0.5059626711,0.4425631439
32,48.4545084452,33.295798195,19,,-1675.7517252495,0.4632142433,0.3993178314,,-1682.1661594911,0.5105674313,0.448717051
33,48.0753309742,29.93345904,6,,-1677.9385449828,0.4607749712,0.4038185674,,-1682.3477870146,0.5022145562,0.4446907145
34,47.7129786232,35.040621774,14,,-1675.7993843256,0.4764047167,0.4131950003,,-1683.0765093217,0.4946193052,0.4274669309
35,47.2147513922,49.706772288,1,,-1675.7862523919,0.4739743271,0.4104668597,,-1683.4819930794,0.4897632237,0.4212335371
36,46.9306716852,25.818257849,5,,-1675.9704430421,0.489272481,0.4285235258,,-1682.08770033,0.4828587332,0.4234877795
37,46.8606692942,25.818257849,1,,-1675.957571199,0.4920129837,0.4294231803,,-1682.3310245555,0.4783085606,0.4195649859
38,46.7287893312,39.195647619,1,,-1676.1939891455,0.4876404674,0.422611139,,-1681.8333261767,0.4669189171,0.4011504641
39,46.5383978072,40.418171173,1,,-1676.1788250379,0.4722755526,0.4120482273,,-1683.9937416636,0.4803758662,0.4099863164
40,46.5296953932,26.376612333,10,,-1677.3947983791,0.4727194183,0.4157541507,,-1681.7505183632,0.4776469453,0.4158421019
41,45.8220036872,42.526418644,10,,-1675.860209215,0.4767612235,0.4124275724,,-1681.7311586143,0.4705912976,0.4060629075
42,45.7577862912,35.391776109,15,,-1676.8247832553,0.4729506374,0.4042614743,,-1681.7975498501,0.4666374938,0.4010880504
43,45.7379910762,26.823081742,2,,-1676.1457004791,0.4599534674,0.3921568938,,-1681.695671911,0.4628970876,0.3996159702
44,45.3938959802,24.682252194,2,,-1675.9249262552,0.4603958778,0.398070528,,-1682.7627858872,0.4527840255,0.3930706641
45,44.8547747272,24.682252194,2,,-1675.8606273146,0.45648162,0.3933775423,,-1682.4857302103,0.4396390766,0.3777396888
46,44.6491994002,26.89989188,75,,-1676.8790093104,0.4544226093,0.3947957596,,-1681.753262471,0.4423105922,0.3767219627
47,44.2807851562,29.012055166,15,,-1676.8347862001,0.4439417232,0.3831512336,,-1681.8079536371,0.4448495059,0.3805682412
48,43.9893966082,24.333932258,2,,-1675.8757694852,0.4636719121,0.4012902473,,-1682.3902939893,0.4481291256,0.3784853706
49,43.9861916172,33.148621258,8,,-1675.9493758421,0.4746115254,0.413395632,,-1681.719910495,0.4481456087,0.3822335481
50,43.9123060982,26.597168167,19,,-1675.8146140424,0.4691638033,0.4065937266,,-1682.1341929099,0.4453725989,0.3764385263
51,43.5968541552,26.597168167,40,,-1676.1037462341,0.4788824011,0.4132085757,,-1681.7231582497,0.459443124,0.3939160272
52,43.3508617592,26.669042752,4,,-1676.624688487,0.4799756253,0.4125353599,,-1682.6292201048,0.4497131397,0.3794977932
53,43.0988328572,26.669042752,20,,-1676.2319758455,0.5001666315,0.4367110868,,-1684.1011588821,0.4573858872,0.400711357
54,42.7048471402,25.310920959,6,,-1677.1065868893,0.5075515572,0.4418682302,,-1682.1330099327,0.4715865014,0.4116785013
55,42.6753227912,39.033153587,40,,-1676.7939560029,0.5044030143,0.4478309852,,-1681.8208600682,0.4646259196,0.4026716442
56,42.5264186582,49.262563003,1,,-1676.5290061153,0.4866483948,0.4202213795,,-1682.9552696864,0.4488415095,0.3891756675
57,42.3923669122,34.041984272,2,,-1676.1771846276,0.4838372265,0.4242478842,,-1682.1897072615,0.4458759807,0.3837401018
58,42.2324204472,34.041984272,2,,-1677.2026433176,0.4849101488,0.4283994909,,-1682.8876780538,0.4381716875,0.3664393825
59,41.7480809562,41.235352009,2,,-1676.0883291445,0.4645193462,0.3973898319,,-1682.3514529762,0.4391168696,0.3767304983
60,41.6756402502,75.659356781,7,,-1676.0789606025,0.4435742949,0.3747873328,,-1682.4521584694,0.4220592536,0.3575987884
61,41.6410917442,33.614343321,9,,-1675.9768534999,0.4251661733,0.3568785047,,-1682.8021374709,0.4163946423,0.3436334672
62,41.2903640182,38.787301325,1,,-1676.8648573611,0.4348440699,0.3628421368,,-1682.3136955039,0.4118419982,0.3447166799
63,41.2353520232,27.170810735,4,,-1676.8667810284,0.4308792256,0.3686484489,,-1683.6056291409,0.4104341462,0.3473028494
64,41.0763910032,38.901881093,1,,-1676.2580106001,0.4110480661,0.3430035506,,-1682.2343140851,0.4113386862,0.3414070668
65,40.9650852222,38.901881093,1,,-1676.2229956061,0.4117105418,0.3417177499,,-1683.9274672578,0.4062344485,0.3431211716
66,40.6850801292,40.188967211,4,,-1676.2523210797,0.4131985408,0.3457329983,,-1682.6399170159,0.4190045117,0.3547069691
67,40.4181711872,31.212922946,4,,-1676.1288757924,0.4153194462,0.3469054871,,-1681.8065466551,0.4360538677,0.369346695
68,40.1889672252,31.212922946,1,,-1676.0649163861,0.4246021328,0.3552386309,,-1682.327806129,0.4295680102,0.3658020583
69,40.0189687392,36.981012024,2,,-1675.8848225314,0.4330048814,0.3665533196,,-1681.8028493306,0.4380251546,0.3723494347
70,39.9513599092,27.497431771,1,,-1676.6452310336,0.4231778243,0.3510799476,,-1681.8444250017,0.4447754426,0.3773349344
71,39.9305891722,33.238896648,1,,-1676.2034603041,0.4590840131,0.3909826334,,-1682.4535340604,0.4480862852,0.3782453867
72,39.7469349642,33.238896648,3,,-1675.9271584827,0.4619331656,0.3997489287,,-1683.0449198732,0.4280451813,0.3661501185
73,39.3860314302,30.646510464,3,,-1675.7578510725,0.4520160204,0.3863747536,,-1683.323991061,0.4279575008,0.3666706684
